"","C_Name","Cnum","Continent","Landareasqkm","eez_areasqkm","Admin_code","A_Name","CCode","HDI","L_exp","Pop8085k","Pop1015k","Popchangek","PopChangePC","MBAqua8084","MBAqua1014","FWAqua8084","FWAqua1014","MarCap8084","MarCap1014","FWCap8084","FWCap1014","Aqua8084","Aqua1014","bird_tot_Threat","bird_prp_Threat","Agri_Dep","Fish_Dep","adaptive_C","healthy_life","crops_RC","CatchinEEZ","thr_pred_n","thr_data_n","thr_crit_n","thr_pred_prp","thr_data_prp","thr_crit_prp","eez_name","MultiRelC","TradeImport8084","TradeImport1013","tradez_TradeExp8084","tradez_TradeExp1013","TradeReex8084","TradeReex1013","thr_pred_prp2","thr_pred_n2","rcp26","rcp45","rcp60","rcp85","rcp26dis","rcp45dis","rcp60dis","rcp85dis","RCP60L10EEZ","RCP26L10EEZ","RCP45L10EEZ","RCP85L10EEZ","Avail8084","Avail1014","AvailPCap8084","AvailPCap1014","AvailPCChange","Mean_Threat","Rel_Sea","Balance_Threat","log10fishc","log10cropc","Total_Threat","Balance_Dep","Total_Dep","SE","V","Vland","Vsea","Balance_V","E","Balance_E","CCcat","HDIcat","Balance_Threat_prp","thr_pred_prp_cat","Fish_Dep_cat","extremes","EEZ","ISO_3digit","WeightedThreat","CR","DDTHR","EN","VU","SpeciesRichness","THRrichness","PropTHR"
"11","Benin",204,"Africa",110622,30138,204,"Benin","BEN",0.47963511,59.6,4002.5,10195,6192,154.70331,1.8,0,6,671.2,9427.170542,21723.56436,18960,8549.6,7.8,7.8,10,0.0202,NA,0.046995758,0.305209165,0.302857143,0.808234758,16658.29957,26.74861454,22.18607063,7.093035315,0.425459813,0.364901738,0.092043608,30138,0.84818485,4752.52,81473.8,17.84,817,0,0,0.43373494,36,-0.068266177,-0.111497875,-0.092462476,-0.212028806,0,0,0,0,-0.07737,-0.1037175,-0.075664286,-0.24440375,33129.650542,111601.16436,8.27723936089944,10.9466566316822,32.2500915388858,0.2228299065,0.405259813,0.727880897683497,-0.0715094890328306,-0.0924624767305226,36.74861454,NA,NA,NA,NA,NA,-0.439774020050134,NA,1.656419608,0.512059170214797,"both","low",0.954673947682153,"[0.25,0.5)","[0,0.1)",NA,"Beninese Exclusive Economic Zone","BEN",0.276851022,4,7,7,18,83,36,0.43373494
"12","Brazil",76,"South America",8358140,3169075,76,"Brazil","BRA",0.755291956,74.5,129518,203231,73713,56.91332,245.2,89174.8,7151.8,384630.4,837803.0381,726870.0217,27747.4,26268.6,7397,7397,165,0.0978,0.206364876,0.012716214,NA,0.728571429,0.90533266,684212.2689,15.91326685,14.31755763,3.101824542,0.448029682,0.419845522,0.060602954,3169075,0.924030823,51416.48,360131.65,49565.12,40683.25,0,0,0.386206897,56,-0.030567524,-0.043836281,-0.043191812,-0.116199035,0,0,0,0,-0.048894539,-0.035557765,-0.059986489,-0.073225215,874798.7981,1546392.2217,6.75426425747773,7.60903711392455,12.6553066901476,0.272914841,0.350229682,0.0879607511769389,-0.0343135417284326,-0.0431918121138418,180.91326685,0.0580434121447908,0.21908109,0.906417965181359,0.151126009181359,-0.56846309388035,-0.743541782312136,0.175078688431786,1.829363483,0.505110565279607,"both","high",0.820823228884061,"[0.25,0.5)","[0,0.1)",NA,"Brazilian Exclusive Economic Zone","BRA",17.34394301,5,9,8,34,145,56,0.386206897
"13","Brunei Darsm",96,"Asia",5265,25463,96,"Brunei Darsm","BRN",0.855615865,78.8,208,408,200,96.15385,0,552.784,0,17.636,4194.855153,4297.688617,72.6,0,0,0,24,0.0608,0.159007218,0.015377723,NA,0.851428571,0.452192786,42715.03935,34.69686102,33.69686102,8.724545003,0.446008268,0.432714881,0.11216718,25463,0.979139287,2883.92,9684.85,4.32,878.2,44.48,0,0.477777778,43,-0.35176076,-0.3483015,-0.34467637,-0.398022283,0,0,0,0,-0.047946667,-0.030667143,-0.056273333,-0.086071429,7102.575153,13674.758617,34.1469959278846,33.5165652377451,-1.84622592122288,0.253404134,0.385208268,0.591119532067952,-0.00915552344436324,-0.344676370397079,58.69686102,0.08818263154959,0.174384941,0.498660315144029,-0.356955549855971,-0.783713948098471,-0.840558932266096,0.0568449841676258,1.431332073,0.684075558334813,"both","very high",0.880033527787672,"[0.25,0.5)","[0,0.1)",NA,"Bruneian Exclusive Economic Zone","BRN",0.122038135,2,2,9,30,90,43,0.477777778
"14","Bulgaria",100,"Europe",108489,34970,100,"Bulgaria","BGR",0.781675314,74.2,8912.5,7278.5,-1634,-18.3338,12.4,1313.026,13256.8,7236.35,121322.0954,17483.75564,809,28.32,13269.2,13269.2,18,0.0604,0.261253492,0.001479587,0.561679104,0.72,0.977051787,42531.55795,2.085911225,1.085911225,0,0.633201518,0.318987182,0,34970,0.902581364,31757.8,35457.9,43552.4,11069.3,0,0,0.666666667,2,-0.007338808,-0.028473333,-0.010082416,-0.064993541,0,0,0,0,0.001006667,-0.029787,0.018136667,0.076204,123605.6954,50450.05164,13.8688017279102,6.93138031737309,-50.0217794344551,0.346800759,0.572801518,0.103849469493013,-0.0445136377951765,-0.0100824166166621,20.085911225,0.00563152156413468,0.262733079,0.976632405206985,0.194957091206985,-0.52641712278141,-0.780339866347383,0.253922743565974,1.879633151,0.480190170895746,"both","high",0.912918299005222,"[0.5,0.75)","[0,0.1)","Bulgaria","Bulgarian Exclusive Economic Zone","BGR",0.005871889,NA,1,NA,1,3,2,0.666666667
"15","Cambodia",116,"Asia",176515,47552,116,"Cambodia","KHM",0.554758321,68.4,7230.5,14971,7740,107.04654,0,3148,670.8,80063,7347.523852,153363.1803,49257,465886,670.8,670.8,27,0.0544,0.593453666,0.078191113,0.449102579,0.554285714,0.87763219,135405.02,36.43926028,34.53966156,7.960090979,0.470317865,0.445538526,0.102659533,47552,0.975884242,0,6214.65,1.6,32017.4,0,0,0.477272727,42,-0.033945229,-0.064717199,-0.056687456,-0.150312201,0,0,0,0,-0.025602222,-0.034384545,-0.047401111,-0.101049091,57273.723852,676657.4303,7.92112908540212,45.1978779173068,470.598931414994,0.2623589325,0.415917865,0.574396046220733,-0.010601694671605,-0.0566874559860007,63.43926028,0.116417361445759,0.671644779,0.889070434650471,0.334312113650471,-0.0339242804448914,-0.478452845958859,0.444528565513967,1.853516432,0.52650423009576,"both","med",0.896325237563619,"[0.25,0.5)","[0,0.1)","Cambodia","Cambodian Exclusive Economic Zone","KHM",0.282700933,3,3,6,30,88,42,0.477272727
"16","Cameroon",120,"Africa",472710,14295,120,"Cameroon","CMR",0.511806528,55.5,9656.5,21967.5,12311,127.48926,0,0,117.6,732.2,114608.0079,205047.4718,20000,75000,117.6,117.6,26,0.0304,0.586499259,0.01584582,0.318577418,0.185714286,0.868281906,102733.5335,38.25106508,31.83339459,11.41767049,0.442383697,0.368240539,0.132032663,14295,0.82969,31958.08,189526.5,2172,2984.55,0,0,0.455555556,41,-0.046187688,-0.072154468,-0.061339249,-0.115530773,0,0,0,0,-0.07325,-0.3004375,-0.066515,-0.44095625,164511.6879,467321.6218,17.0363680318956,21.2733183930807,24.8700330566505,0.2363918485,0.411983697,0.595337447439556,-0.0810841442957812,-0.0613392490823907,64.25106508,0.026306880478391,0.602345079,0.867266673341425,0.355460145341425,-0.00255983352789235,-0.4986594096042,0.496099576076308,1.697971906,0.48863588205917,"both","low",0.935699982480572,"[0.25,0.5)","[0,0.1)",NA,"Cameroonian Exclusive Economic Zone","CMR",0.342021205,4,8,8,21,90,41,0.455555556
"17","Canada",124,"North America",9093507,5649951,124,"Canada","CAN",0.913178984,82,25182,35033,9851,39.11921,3858.8,155658.2,755.2,8152.2,1536790.668,1014320.924,15762.6,4932,4614,4614,15,0.0361,NA,0.005061979,NA,0.942857143,0.733897807,892858.4068,2.432158891,2.307498952,0.417500707,0.213501684,0.207409009,0.022510689,5649951,0.954998466,101632,511086.55,498888.24,629029.15,2873.24,8.3,0.328125,21,-0.110670268,-0.146938401,-0.13436441,-0.163702964,1,0,1,0,0.005349915,0.0659603,0.011127471,0.063515134,1157037.788,1065112.424,45.9470172345326,30.4031177461251,-33.8300512720228,0.124800842,0.177401684,0.13952138150001,-0.0199973260165367,-0.134364410037422,17.432158891,NA,NA,NA,NA,NA,-0.908344801820076,NA,1.688896273,0.565457145750952,"both","very high",0.855369565535463,"[0,0.25)","[0,0.1)",NA,"Canadian Exclusive Economic Zone","CAN",2.620499279,NA,3,4,14,64,21,0.328125
"18","Chile",152,"South America",743812,2916220,152,"Chile","CHL",0.832178477,81.7,11671.5,17481.5,5810,49.77938,3947.24,956216.84,208,50064,4593463.323,3067206.502,0.2,0.2,4155.24,4155.24,34,0.1012,0.222379186,0.011749429,0.677690785,0.934285714,0.961019226,2170040.305,7.125197769,6.608191892,0.024083615,0.588468121,0.568659159,0.00102167,2916220,0.926570134,2636,177833.05,787767.88,1162191.5,0,0,0.317647059,27,-0.048165082,-0.010313987,-0.017267924,-0.017914295,0,0,0,0,-0.027757803,-0.014085981,-0.025556563,-0.022679136,3812486.883,3089129.092,326.649263847835,176.708468495266,-45.9026888921495,0.3448340605,0.487268121,0.17325625542331,-0.0331217024579603,-0.0172679238172125,41.125197769,0.0501836522630948,0.234128615,0.959290444746293,0.127111967746293,-0.61846780379177,-0.821291806997047,0.202824003205276,1.88758936,0.490874844727881,"both","very high",0.853262755057806,"[0.5,0.75)","[0,0.1)",NA,"Chilean Exclusive Economic Zone (disputed - Chilean point of view)","CHL",2.657006114,NA,9,2,16,85,27,0.317647059
"19","China Main",156,"Asia",9326410,871884,156,"China Main","CHN",0.727494941,75.8,1015229.5,1358509,343280,33.81304,1779735.2,27093521.23,1272420,26477700.11,3826087.734,16084626.92,299279.6,1724795.6,3052155.2,3052155.2,89,0.076,0.322870949,0.030669685,NA,0.765714286,0.933725089,11394719.61,31.97765472,27.57112152,4.661172092,0.408414218,0.349441491,0.05252191,871884,0.827205493,30945.2,4075158.75,99240,3800818,0,0,0.313513514,58,-0.010854636,-0.015806482,-0.029780972,-0.069774563,1,0,0,0,-0.074720256,-0.037539348,-0.086682564,-0.063520145,7109227.734,71654984.61,7.00258191275963,52.7453146133003,653.226670825391,0.242207109,0.332414218,0.264326951898775,-0.0823865903385413,-0.0297809716334706,120.97765472,0.0867500989999356,0.353540634,0.924484503501567,0.196989562501567,-0.426022235409461,-0.70212480909942,0.27610257368996,1.760930582,0.469754743006672,"both","high",0.843109477021998,"[0.25,0.5)","[0,0.1)",NA,"Chinese Exclusive Economic Zone","CHN",7.336972942,3,11,9,35,185,58,0.313513514
"20","Costa Rica",188,"North America",51060,571687,188,"Costa Rica","CRI",0.765746905,79.4,2559.5,4676.5,2117,82.71147,0.4,3839.6,77.6,23441,35212.91715,37311.86208,350,1000,78,78,23,0.0286,0.265604632,0.003609898,NA,0.868571429,0.646430779,23818.29119,11.60607409,10.08336469,0.770497986,0.505355021,0.477275902,0.01703909,571687,0.945332235,4533.28,33402.15,4425.2,26096.05,0,0,0.25,28,-0.170113749,-0.193792097,-0.189477973,-0.269843926,0,0,0,0,-0.025399333,-0.022014,-0.0352755,-0.082230286,35748.99715,72898.56208,13.9671799765579,15.5882737260772,11.6064499221751,0.2669775105,0.476755021,0.335376791363738,-0.0244155327929597,-0.189477973347914,34.60607409,0.0134090013640794,0.26921453,0.650438749031229,-0.115308155968771,-0.594051895830232,-0.762334352055538,0.168282456225306,1.591763014,0.593890061953657,"both","high",0.94643743597272,"[0.5,0.75)","[0,0.1)",NA,"Costa Rican Exclusive Economic Zone","CRI",0.398703176,3,9,2,14,112,28,0.25
"21","Cote d'Ivoire",384,"Africa",318003,173485,384,"Cote d'Ivoire","CIV",0.462221997,51.5,9212,21417,12205,132.49023,0.24,665.6,20,2591.2,94529.1322,94370.0367,18560,6953.6,20.24,20.24,20,0.031,0.518870853,0.012698194,0.330964721,0.071428571,0.654008003,49499.85087,21.41483384,18.24693266,5.222991978,0.456194664,0.417680624,0.062895751,173485,0.893622279,120285.2,312335.4,30098.96,32993.45,0,0,0.430232558,37,-0.163395241,-0.194923367,-0.184416937,-0.252523339,0,0,0,0,-0.060385217,-0.076874,-0.059361304,-0.1841564,203295.6122,383922.3867,22.0685640686062,17.9260581173834,-18.7710715493073,0.243597332,0.425194664,0.517081244916568,-0.0488460123117077,-0.184416937245346,41.41483384,0.0238881365867038,0.531569047,0.659731941553212,0.197509944553212,-0.122876306614563,-0.450874607938536,0.327998301323972,1.547630282,0.577413281061659,"both","low",0.93637040326862,"[0.25,0.5)","[0,0.1)",NA,"Ivory Coast Exclusive Economic Zone","CIV",0.68853105,4,7,7,19,86,37,0.430232558
"22","Croatia",191,"Europe",55974,55166,191,"Croatia","HRV",0.817539869,77.3,4657,4278,-379,-8.13829,0,7971.402,0,4517.6,0,88507.20989,0,24.96,0,0,15,0.0534,0.214558489,0.003814094,0.596767673,0.808571429,1.008898854,146483.1762,27.13001816,25.13001816,9,0.561050772,0.519683579,0.186152371,55166,0.897997679,0,38932.6,0,35163.55,0,0,0.549019608,28,0.017103799,-0.007227973,0.003847629,-0.053610017,0,0,0,0,-0.03436,0.006685263,-0.05153,0.006364211,0,104790.22189,0,24.4951430317906,Inf,0.307225386,0.507650772,0.643959327455462,-0.046724785825786,0.00384762872300952,42.13001816,0.0174659929722038,0.218372583,1.00696185485684,0.189421985856841,-0.601072055331928,-0.814114821440512,0.213042766108584,1.906896533,0.47092102977776,"sea","very high",0.913093119199466,"[0.5,0.75)","[0,0.1)",NA,"Croatian Exclusive Economic Zone","HRV",0.318682851,2,2,7,17,51,28,0.549019608
"23","Cuba",192,"North America",109820,361678,192,"Cuba","CUB",0.769011135,79.4,9959,11349,1390,13.95722,1188.8,4895.12,2329.84,23360.22,257263.9702,80611.157,351.12,0,3518.64,3518.64,17,0.0612,NA,0.138169018,0.565507456,0.868571429,0.432797688,62320.13138,16.94559809,15.10204406,3.794874518,0.313643198,0.281061535,0.069757877,361678,0.934196614,84915.8,12288.95,31711.2,4393.5,0,0,0.288888889,26,-0.34526214,-0.371478406,-0.363715068,-0.440655116,0,0,0,0,-0.052388444,-0.040712656,-0.047738667,-0.058477813,314338.3302,116761.947,31.5632423134853,10.2883026698388,-67.4041640980492,0.187421599,0.252443198,0.499198689770383,-0.0295617111477658,-0.363715067891145,33.94559809,NA,NA,NA,NA,NA,-0.639934106224695,NA,1.366994302,0.683394665678716,"both","high",0.836731731223785,"[0.25,0.5)","[0.1,0.2)",NA,"Cuban Exclusive Economic Zone","CUB",0.263133998,3,5,2,16,90,26,0.288888889
"24","Cyprus",196,"Europe",9241,97934,196,"Cyprus","CYP",0.849745435,80.2,694.5,1134.5,440,63.35493,0.8,4598.796,43.8,59.342,3057.354645,4785.548838,0,20,44.6,44.6,7,0.0278,0.285605098,0.002571735,0.663047726,0.891428571,0.449537962,12552.44763,19.32162607,17.84321551,3.883761672,0.490790282,0.456337359,0.093584072,97934,0.883942282,5730.32,23526.35,34.32,3434.6,0,0,0.468085106,22,-0.347682918,-0.342299438,-0.347233627,-0.390597875,0,0,0,0,-0.033351905,-0.121427619,-0.088897143,-0.143667143,8797.954645,29555.436838,12.6680412455004,26.0515088920229,105.647490303809,0.259295141,0.462990282,0.73405898323363,-0.0535760918050998,-0.347233627643813,26.32162607,0.0089241559539243,0.288176833,0.453414653898738,-0.396330781101262,-0.72135510130827,-0.847472169695401,0.126117068387131,1.333480244,0.662883672988259,"both","very high",0.946393133529641,"[0.25,0.5)","[0,0.1)",NA,"Cypriote Exclusive Economic Zone","CYP",0.143630027,1,2,4,15,47,22,0.468085106
"25","Denmark",208,"Europe",42434,100418,208,"Denmark","DNK",0.923327926,80.2,5118,5610,492,9.61313,1091.2,14465.336,20985.6,22291.772,2011048.905,882270.7278,358.88,127.92,22076.8,22076.8,7,0.0317,0.149455795,0.010986077,NA,0.891428571,0.590900837,397820.9629,7.783033218,6.188009561,0.902694115,0.468600246,0.367771981,0.05231893,100418,0.609553575,387120.24,1325774.15,811140.76,1131432.35,0,0,0.379310345,11,-0.215960047,-0.220367337,-0.228485395,-0.227135065,0,0,0,0,-0.1231756,-0.174718913,-0.1359376,-0.214552609,1609464.065,1113497.5558,314.471290543181,198.484412798574,-36.8831372632665,0.250150123,0.436900246,0.5264841865148,-0.214988117273934,-0.228485394849875,14.783033218,0.0684738769440436,0.160441872,0.592178062286481,-0.331149863713519,-0.83501437164,-0.916631323489425,0.0816169518494252,1.200454412,0.507769032215444,"both","very high",0.936638048345073,"[0.25,0.5)","[0,0.1)",NA,"Danish Exclusive Economic Zone","DNK",0.094779222,1,2,1,7,29,11,0.379310345
